"cohort_id","visit_concept_id","visit_context","subjects","database_id"
1,581477,"On visit start",44428,"Pharmetrics"
1,581458,"Before",35786,"Pharmetrics"
1,8883,"After",11153,"Pharmetrics"
1,581458,"After",41177,"Pharmetrics"
1,581477,"After",37544,"Pharmetrics"
1,8756,"After",21647,"Pharmetrics"
1,8870,"On visit start",3269,"Pharmetrics"
1,8756,"Before",22038,"Pharmetrics"
1,8883,"On visit start",22804,"Pharmetrics"
1,8782,"Before",1814,"Pharmetrics"
1,8809,"Before",13413,"Pharmetrics"
1,9202,"Before",5968,"Pharmetrics"
1,9202,"After",6547,"Pharmetrics"
1,8717,"On visit start",2473,"Pharmetrics"
1,9201,"After",991,"Pharmetrics"
1,9201,"Before",476,"Pharmetrics"
1,8966,"On visit start",127,"Pharmetrics"
1,581385,"After",1574,"Pharmetrics"
1,8964,"Before",66,"Pharmetrics"
1,8966,"Before",122,"Pharmetrics"
1,8761,"On visit start",125,"Pharmetrics"
1,8716,"After",170,"Pharmetrics"
1,8716,"Before",178,"Pharmetrics"
1,8668,"Before",303,"Pharmetrics"
1,581385,"Before",366,"Pharmetrics"
1,8756,"During visit",313,"Pharmetrics"
1,8971,"After",7,"Pharmetrics"
1,9202,"During visit",59,"Pharmetrics"
1,581476,"Before",47,"Pharmetrics"
1,581380,"After",13,"Pharmetrics"
1,8870,"During visit",11,"Pharmetrics"
1,8964,"After",74,"Pharmetrics"
1,581476,"After",80,"Pharmetrics"
1,8913,"After",16,"Pharmetrics"
1,581477,"During visit",12,"Pharmetrics"
1,581476,"On visit start",8,"Pharmetrics"
1,8949,"After",6,"Pharmetrics"
1,38003620,"On visit start",12,"Pharmetrics"
1,8947,"After",-5,"Pharmetrics"
1,8809,"During visit",-5,"Pharmetrics"
1,8913,"On visit start",-5,"Pharmetrics"
1,8809,"On visit start",9125,"Pharmetrics"
1,581458,"On visit start",19755,"Pharmetrics"
1,581477,"Before",41691,"Pharmetrics"
1,8756,"On visit start",26879,"Pharmetrics"
1,8809,"After",10333,"Pharmetrics"
1,8870,"Before",5566,"Pharmetrics"
1,8883,"Before",6749,"Pharmetrics"
1,9202,"On visit start",4671,"Pharmetrics"
1,8870,"After",5121,"Pharmetrics"
1,8717,"Before",725,"Pharmetrics"
1,8717,"During visit",19,"Pharmetrics"
1,9201,"On visit start",2653,"Pharmetrics"
1,581385,"On visit start",1719,"Pharmetrics"
1,5083,"Before",308,"Pharmetrics"
1,8717,"After",1569,"Pharmetrics"
1,8966,"After",139,"Pharmetrics"
1,8782,"After",1431,"Pharmetrics"
1,5083,"After",306,"Pharmetrics"
1,8668,"After",285,"Pharmetrics"
1,8668,"On visit start",153,"Pharmetrics"
1,9201,"During visit",196,"Pharmetrics"
1,8761,"Before",156,"Pharmetrics"
1,8782,"On visit start",270,"Pharmetrics"
1,8971,"Before",-5,"Pharmetrics"
1,5083,"On visit start",119,"Pharmetrics"
1,8761,"After",158,"Pharmetrics"
1,8977,"After",45,"Pharmetrics"
1,8716,"On visit start",65,"Pharmetrics"
1,8977,"Before",51,"Pharmetrics"
1,8977,"On visit start",11,"Pharmetrics"
1,581380,"On visit start",19,"Pharmetrics"
1,8883,"During visit",15,"Pharmetrics"
1,8913,"Before",10,"Pharmetrics"
1,38003620,"After",177,"Pharmetrics"
1,38003620,"Before",213,"Pharmetrics"
1,8850,"After",-5,"Pharmetrics"
1,8964,"On visit start",8,"Pharmetrics"
1,581380,"Before",10,"Pharmetrics"
1,581385,"During visit",-5,"Pharmetrics"
1,8850,"On visit start",-5,"Pharmetrics"
1,8949,"Before",-5,"Pharmetrics"
1,8850,"Before",-5,"Pharmetrics"
1,8971,"On visit start",-5,"Pharmetrics"
1,8546,"Before",-5,"Pharmetrics"
1,8546,"After",-5,"Pharmetrics"
1,8947,"Before",-5,"Pharmetrics"
